,processed_txt
1402,hoffman hit modern film hollywood legend dustin hoffman hit qualiti current film theatr productions. star rain man tootsi said film cultur craphous press confer tuesday. 67-year-old also said stop work year ago lost spark acting. hoffman uk publicis new comedi meet focker also star robert de niro barbra streisand ben stiller. said: go cinema realis watch third act. first second act. massiv film-mak spend incred amount money play right demographic. tell much money film go make first weekend. whole cultur craphouse. true movi also true theatre. broadway london special effect great demand. good time culturally. hoffman also said stop work year ago move direct writing. said: lost spark alway had. coupl year ago like part getting. studio interest kind film peopl gener want see. thought would stop tri write directing. awar depress set in. recent hoffmann return film role heart huckabe find neverland meet focker sequel meet parents. meet focker open uk friday.
1403,roch turn feder offer australian tenni coach toni roch turn approach roger feder world number one new full-tim coach say reports. melbourn herald-sun said roch troubl hip complaint want travel full-tim again. howev roch happi work swiss star casual basi help prepar next month defenc australian open crown. feder without coach sinc split peter lundgren 2003. roch former davi cup player australia french open reach wimbledon us open final five wimbledon doubl titl john newcombe. also coach former number one ivan lendl pat rafter grand slam victori work australia lleyton hewitt. report claim feder initi want andr agassi australian coach darren cahil agassi confirm would play 2005. feder name swiss sportsman year saturday add bbc oversea sportsman european sport journalist associ award alreadi won.
1404,new foot mouth action urg senior tori mp criticis agricultur depart defra lackadais approach plan futur foot mouth outbreak. public account committe chairman edward leigh give reaction report govern watchdog lesson learnt crisis. nation audit offic said defra improv capac deal futur livestock diseas outbreaks. mr leigh said depart drag heel . comment refer set scheme share futur compens cost industry. also said defra dread slow pay bill date foot mouth crisis. outbreak began 2001 led slaughter 6.5 million anim devast mani farm rural busi estim cost uk £8bn. four year outbreak defra yet begin plan review contractor cost £40m invoic remain unpaid mr leigh said. mr leigh also point introduct system help control futur outbreak delayed. novemb emerg european commiss compens amount third money uk govern hope get reimburs billion lost foot mouth crisis. minist hope get £900m european union vet fund help anim slaughter cost end grant £349m. uk valu cull anim two three time commiss assess like market value. nation audit offic chief sir john bourn said new compens scheme look at. issu unpaid invoic sir john said defra paid 97% £1.3bn submit contractor sinc 2001 agre final settlement 57 contractor pend result investig . mr leigh said better prepar would also help avoid need mass funer pyre provid unsettl imag 2001 outbreak . defra spokesman said: welcom report. acknowledg progress depart made sinc 2001 - particularli conting plan improv capac prepared combat anoth major diseas outbreak. howev depart awar area requir work work resolv soon practicable.
1405,mallon wade ne vote battl middlesbrough mayor ray mallon draft boost ye campaign north east assembl referendum enter final week. former polic chief dub robocop zero toler style clash thursday sunderland campaign neil herron. mr mallon said assembl would give local peopl say key issu transport crime. mr herron said north east peopl want need assembly. pair met platform sunderland station mr mallon tour region highlight claim improv transport area get assembly. mr herron - gain fame one sunderland metric martyr run campaign alongsid offici north east say campaign - said convinc mr mallon arguments. realiti go deliv said. labour two-and-a-half year convinc peopl this. sell deal time bad deal. wednesday mr mallon provok furi brand offici campaign two-bit tori confront outsid durham headquarters. campaign run two-bit conserv interest happen north east; interest hit labour parti head said. mr mallon late recruit ye campaign reject overtur campaign includ claim tori leader michael howard. local observ believ contest close call although littl recent poll carri out. ye campaign chairman john tomaney said hope late flurri vote boost turnout - someth say boost cause. added: govern exert lot polit power north east. account north east well. also defend decis attack offici campaign alleg polit allegiances. felt show peopl behind campaign - london tori spin doctors. graham robb spokesman north east say said ye campaign decis get person drag campaign gutter show rattl . hit back mr mallon claim assembl would improv transport link region. push paper around get peopl move said. 487 939 peopl return ballot paper wednesday - turnout 25.7%. deadlin vote next thursday 4 november.
1406,hitzlsperg wait leari aston villa thoma hitzlsperg wait learn futur manag david leari commit new contract club. leari talk new deal said: messag thoma agent ask news myself. want find goe discuss thomas. reason thoma speak club agent want see outcom happen me. hitzlsperg current deal expir summer offer new deal midland club. german intern understood keen remain villa despit interest nativ countri hamburg. want assur leari also commit long-term negoti new three-and-a-half-year contract appear stalled. leari want backroom staff - assist manag roy aitken fit coach steve mcgregor - also given satisfactori deal tie villa summer 2008.
1407,aviat win top globe accolad aviat name best film golden globe award star leonardo dicaprio name best actor. hollywood veteran clint eastwood took best director prize million dollar babi star hilari swank best actress. quirki comedi sideway name best screenplay best comedy. ray star jami foxx best actor musical/comedi briton clive owen natali portman prize best support role closer. aviat dicaprio play millionair howard hugh edg ahead rival beverli hill ceremoni win best origin score prize. give total three award million dollar babi sideway closer took two golden globe each. accept best dramat actor prize dicaprio describ director martin scorses one greatest contributor world cinema time . annett bene best actress musical/comedi julia spanish movi sea insid name best foreign languag film. swank previous golden globe oscar boy cri paid tribut million dollar babi director co-star clint eastwood. guid us brilliantli also humbl opinion gave perform career said. foxx nomin three award beaten best support actor titl owen best actor tv movi prize geoffrey rush life death peter sellers. bbc co-product life death peter seller also name best tv movie. mick jagger dave stewart best origin song award old habit die hard movi re-mak alfi ian mcshane name best actor tv drama lead role deadwood. uk hope kate winslet imelda staunton went home empty-hand despit lead actress nomin etern sunshin spotless mind vera drake respectively. win golden globe said improv film perform chanc subsequ win academi award. unlik oscar golden globe split award genr - one prize drama music comedies. globe also honour best televis suburban seri desper housew name best tv comedi show. actress teri hatcher beat fellow desper housew star marcia cross felic huffman best comedi actress prize. hatcher thank show cast crew network gave second chanc career bigger . cosmet surgeri seri nip/tuck beat soprano deadwood best televis drama title. arrest develop star jason bateman name best tv actor music comedi series. golden globe award hollywood foreign press associ compris film report base lo angel work oversea outlets. robin william five-tim globe winner film fisher king good morn vietnam receiv cecil b demil award career achievement. dedic prize superman actor christoph reev die last year.
1408,guantanamo pair passport ban govern written two british men freed guantanamo bay tell allow passports. letter sent martin mubanga said british passport would issu light evid gather us. suggest like take part action uk alli target left britain said. ident letter sent feroz abbasi men solicitor says. known whether two men releas cuba detent camp januari - richard belmar moazzam begg - also receiv letters. govern implement rare use royal prerog order withdraw men passports. 13th time power use sinc 1947 - last time 1976. letter home offic says: write inform basi inform come light detent unit state home secretari consid strong ground believ leav unit kingdom would take part activ unit kingdom alli targets. home offic said could comment individu cases. liber democrat say suspect move part packag secur measur agre us order men allow home guantanamo bay. home affair spokesman mark oaten also demand assur evid men gain torture. added: power use absolut extrem circumst find hard believ condit met time. said move also rais complex question use royal prerogative. liber democrat promis rais issu parliament. amnesti intern uk also question whether decis base tortur evid obtain guantanamo bay. furthermor believ investig role play uk detent uk resid nation possibl mani other guantanamo bay said director kate allen. men solicitor louis christian rais question whether evid gather torture. pentagon told bbc news us polici condemn prohibit tortur said evid british detaine tortur abused. mr abbasi 23 croydon south london taken guantanamo bay captur afghanistan 2001. mr mubanga 29 north london origin detain zambia.
1410,hitch hold us box offic smith first romant comedi hitch top north american box offic second weekend. smith play new york date doctor love worri movi took $31.8m (£16.8m). held strong challeng new keanu reev sci-fi thriller constantin open number two $30.5m (£16.1m) constantin base hellblaz comic star reev exorcist must send satan minion back hell. two famili film came next chart wayn wang comedi winn-dixi young girl abandon dog third posit $10.85m (£5.73m). comedi adventur son mask came number four $7.7m (£4.1m) ahead oscar favourit million dollar babi five. smith comedi first us movi releas year top $100m (£52.7m) mark. success continu strong trend hollwood movie-go year figur popular presid day weekend 13% greater last year. oscar contend aviat star leonardo dicaprio howard hugh wine-tast comedi sideway held onto posit top 10.
1411,mr howard get key elect role michael howard ex-model wife sandra play lead role conserv elect campaign. mr howard make solo visit target seat well accompani husband helicopt campaign trail criss-cross country. mr howard host news confer parti london hq everi morn tori co-chairman liam fox said. want michael access possibl mr fox said ad parti afraid scrutiny. tori leader want meet mani ordinari member public mr fox said. toni blair also said intend get talk mani peopl possibl elect campaign. labour campaign chief say plan mr blair hold daili news conference. mr fox respond accus prime minist hide away scrutini london media . liber democrat also say plan hold daili news confer charl kennedy. mr howard role mr fox said: sandra alreadi campaign michael number visit undertak short visit herself. pattern continue. work well now. mr howard made debut speech conserv parti confer bournemouth last october. use speech fring highlight work drug chariti addact supports. mr howard also appear along side husband tv chat shows. interview itv1 morn said often criticis husband show side knows.
1412,celebr get skate former england footbal paul gascoign join eastend actress scarlett johnson bbc one strictli ice dancing. one-off christma special also star televis present carol smilli jessica taylor liberty-x. celebr pair profession skater impress panel judg win audienc vote. bbc yet confirm final two star battl becom ice king queen. veteran present bruce forsyth tess dali host programm follow hot heel current saturday night seri strictli come dancing. celebr practis stipul ice danc perform ice rink partner. judg 50% vote decid win contest ice rink audienc make rest vote. show form part bbc festiv schedule. ice skate duo jayn torvil christoph dean front similar celebr ice danc show itv titl star thin ice. contest star thin ice pair profession skater learn new routin everi week. end seri one celebr crown winner.
1413,lennon brand ranger favourit celtic neil lennon admit ranger could consid slight favourit old firm ci cup clash insist side still win. lennon conced ranger good form moment fail beat celtic last seven meetings. ranger good run recent week said. game believ capabl win play best told even times. boy look forward brilliant game involv in. without play top game still win matches. minut top leagu still chanc stay europ think crisi peopl tri make out. cours concern lose goal notori team hard beat keep clean sheet hope wee run. consid lost henrik larsson end last season still score lot goal pleasing.
1414,fightstar take stage charli simpson took new band fightstar stage friday night hour offici announc departur pop band busted. greet sell-out crowd univers warwick. confirm bust long-rumour split come earlier day simpson held press confer london bandmat matt willi jame bourne. three band member stress break amic although bourn admit devast hear simpson departure. realli difficult decis 19-year-old simpson reveal hope fan understand. simpson declar would look back pride bust enorm success focu turn immedi fightstar friday press confer coincid start band 13-date tour uk. fuell news 1 400 ticket see charli first post-bust live appear - univers warwick student union - sold rapidly. mike eccleshal venu promot coordin said: ticket sell strongli past day sale went mad news broke. complet sold 4pm. queue outsid venu long expect high pressur fightstar impress. although mani dedic fan travel gig around countri face tough crowd made chiefli student averag age audienc far exceed bust concert. gone scream girl simpson becom accustomed. support act brigad front simpson brother play short set first met gener approval. fightstar eventu took stage around 11pm howev riotou cheer easili drown heckler lurk crowd. unfortun band initi hinder technic teeth problem simpson guitar amplifi fail work. sound technician rush fix band member best improvise. eventu got way fightstar blend emot charg rock warmli received. far heavier less commerci bust chart-top pop-punk band undoubtedli appeal matur fan-base. warwick student helen clutterbuck admitted: came check fightstar controversy. never heard pretti impressed. less impress fellow student ryan crabb gordon renni observ fightstar charli clearli progress bust sound still inspiring. fightstar play around 45 minut showcas materi forthcom ep call like better dead due releas february.
1416,tori attack burglar u-turn tori leader michael howard accus toni blair perform u-turn rule use forc burglars. govern rule amend present law allow reason forc self defence. mr howard brand decis unaccept saying: household frighten burglars. home secretari charl clark said minist kept pledg review law. metropolitan polic commission sir john steven last month back tori attempt chang law household use grossli disproportion forc could prosecuted. pressur prompt prime minist say polic crown prosecut servic would consult part review law. told mps: get right respons peopl cours support chang law. instead govern decid chang need public campaign peopl clear entitl defend themselves. thursday mr howard told bbc radio 4 today programm mr blair initi refus law chang come round idea backtrack again. said: three polici posit three month two u-turns. surpris gordon brown told him: noth could say could ever believe. mr howard said grossli disproportion test match hurdl minist introduc civil case burglar claim compens householders. issu enter public spotlight norfolk farmer toni martin jail shoot dead 16-year-old burglar 1999 ran away farm. home secretari said mr howard wrong say law bias favour burglars. barrist repres mr martin said rule weight overwhelmingli favour household said mr clarke. said: problem enough understand - point sir john steven make prime minist making. new guidanc would help ensur clariti issu ad mr clarke. director public prosecut ken macdonald say 11 household occupi busi premis prosecut last 15 years. case includ warehous manag wait burglar tie beat set alight said. tori mp patrick mercer privat member bill chang law receiv first read parliament wednesday goe full debat next month.
1417,tick budget face us budget propos laid administr us presid georg w bush highli controversial. washington-bas econom polici institut tend critic presid look possibl fault lines. us politician citizen polit persuas dose shock therapy. without major chang current polici polit prejudic feder budget simpli cannot hold together. news coverag bush budget domin debat spend cut fact larg cut small programs. standpoint big fiscal trend cut gratuit big budget train wreck yet come. direct threat feder govern abil make good debt social secur trust fund. soon 2018 fund begin requir cash return bond hold order financ promis benefits. trigger come shock rise feder debt grow 10 year conserv estim half nation total annual output. upward trend forc increas borrow feder govern put upward pressur interest rate face consum business. even grow share us borrow abroad. us govern cannot financ oper without heavi borrow central bank japan china among nations. bode well us influenc world. declin dollar warn sign current econom trend cannot continue. dollar alreadi sinking. long credit market like react interest rate creep upwards. shock. interest-sensit industri feel pain immedi - sector hous automobil consum durabl agricultur small business. recal news footag angri farmer drive heavi equip around us capitol late 1970s. need constitut amend balanc budget. public outcri forc congress act. whether act wise anoth matter. happen definit deficit mean littl revenu much spend - neutral descript adequ captur current situation. feder revenu 1950 level spend remain recent decad - much higher. addit unit state two signific militari missions. bush administr chosen remedi least feasibl one. reduc domest spend elimin wast fraud abus toothless slice budget small solv problem. inde congress rash enough balanc budget way would hardli spend left. law enforc space explor environment clean-up econom develop small busi administr hous veteran benefit aid state local govern would disappear. fantasi think routin govern function could slashed. biggest spend growth area defenc (includ homeland security) health care elderli poor. extent increas area inevitable. us popul age nation face genuin threat world. seriou save found big money is. save health care spend come expens health achiev wholesal reform entir system public private. brute forc budget cut spend cap would ill-serv nation elderli indigent. revenu side lion share revenu lost tax cut enact sinc 2000 replaced. rearrang could hold mani peopl harmless focu pain rel high incomes. final blind allegi balanc budget abandoned. good reason fixat anyway. moder deficit slowli rise feder debt sustain indefinitely. borrow invest educ infrastructur pay futur year make sense. sooner face realiti sooner workabl reform pursued. first list tax reform rais revenu simplifi tax code restor fair erod bush tax cuts. second dispassion re-evalu huge increas defenc spend past three year much unrel afghanistan iraq terrorism. third must start seriou debat large-scal health care reform. one thing certain - destroy budget order save go equip us economi govern challeng new century.
1418,yahoo move desktop search internet giant yahoo launch softwar allow peopl search e-mail file pcs. firm follow footstep microsoft googl ask jeev offer similar services. search becom lucr hotly-contest area expans net firm look extend loyalti beyond web. hard drive provid bigger storag user could need help locat import file photos. desktop search technolog licens us-bas firm x1 technologies. design work alongsid microsoft outlook outlook express e-mail programs. search e-mail effect becom increasingli import especi amount spam increases. accord research messag analyst radicati group 45% busi critic inform store e-mail attachments. yahoo softwar also work separ desktop search music photo files. user search varieti criteria includ file name size date time. yet incorpor web search although yahoo promis futur version allow user search web-bas desktop data. get file desktop real commerci opportun lie link web content said julian smith analyst research firm jupiter. extend idea search get closer relationship consum organis search internet file comput well said. search engin often first port call user go onto web. new foray desktop search rung alarm bell human right group concern implic privacy. everyon impress function services. alexand linden vice presid emerg technolog analyst firm gartner download googl product sinc remov it. interest said. believ rush enter desktop busi way keep rivals. desktop search one mani featur peopl would like suspici use said. use would tool combin internet intranet desktop search alongsid improv key word search said.
1419,park sell day ticket scotland biggest music festiv sold record time five month event held. 12th annual park festiv take place balado near kinross juli sold four day line-up announced. green day foo fighter kean among act alreadi line appear event. howev organis reveal scot favourit travi well soulman jame brown also appear. last year ticket sold 10 week festiv organis confirm 130 000 two-day event sold. geoff elli ceo festiv organis big day ltd said year event promis best yet. last year sell-out think year event would sell slightli earlier howev way beyond expect mr elli said. extrem proud fan excit park made absolut sure place balado book 2005 deliv one greatest event yet july. 120 act play eight stage weekend 9 10 july. brit award winner kean street among main attract killer danc act prodigi also bill. green day foo fighter last play festiv 2002 year oasi basement jaxx among headlin acts.
1421,polic prais courag ozzi rock star ozzi osbourn prais polic courag tackl burglar stole jewelleri house. singer grab intrud jump 30ft (10m) first floor window star gave chase buckinghamshir home monday. act impuls osbourn said. hindsight could lot worse. could got realli ugly. £100 000 reward offer inform lead conviction. wife sharon call polic said wed ring taken bedsid tabl slept. heavi metal star said could met fate late beatl georg harrison repeatedli stab break-in 1999. could badli injur shot anyth osbourn said. thank god no-on got injured. ad glad intrud hurt. want anyon get injured. singer want talk detail action ask whether would replied: pope cathol incid happen 0400 gmt monday chalfont st peter. detect inspector paul miller thame valley polic said appear man use ladder get hous first floor bedroom window. whilst select item jewelleri burglar disturb ozzi courag tackl burglar pursu hous said. ozzi said come grip happen opinion uk lower 12 rel trouble-fre year us. live lo angel peopl get shot everi day trail lot differ stalker - yet come back england disappointed. press confer tuesday sharon osbourn gave detail nine stolen items. includ diamond wed ring two handmad wed band ozzi gave renew vow two year ago. said wish worn night. alway take put besid bed right besid bedsid table. also taken pearl necklac sapphir bought invest daughter describ sharon one 24-carat sapphir absolut pure . daisi chain necklac 20th anniversari present franck muller watch sharon said one 10 made also stolen. express anger person work want take . thing work everything. came brixton. ozzi came nice part birmingham everyth got work ars for. choos make invest kid whatev way choos make busi work everi god damn penny. ozzi also lament two year famili plagu problem includ critic injuri quad bike accid wife colon cancer children drug problem burglary. sunday night osbourn celebr birthday singer sir elton john partner david furnish. polic describ intrud well-built 5 10 tall said wear ski-mask light-colour jacket trainers. believ may injur jump window. descript accomplice. polic think pair drive larg vehicl possibl van keen hear anyon may seen one leav chalfont st peter speed. polic appeal public help find perpetr stolen item 0845 8 505 505 0800 555 111.
1422,uk firm embrac e-commerc uk firm embrac internet trade opportun never e-commerc minist mike brien says. government-commiss studi rank uk third world index use inform commun technolog (ict). report suggest 69% uk firm use broadband 30% micro busi trade online. mr brien said uk busi sprint forward ict use challeng ahead. report carri independ consult booz allen hamilton hi europ place uk third behind sweden ireland busi use ict. show british busi brought greater matur ict use use broadband increas number bring ict busi plan use new technolog voic activ programm desktop video conferences. mr brien said: increas proport busi connect broadband show uk compani embrac opportun ict bring. particularli encourag see small busi begin narrow digit divid appear open recent years. govern would play part cultiv environ inform commun technolog flourish mr brien said. clear messag report send effect use ict bring real improv busi perform business. howev finish line yet mani challeng remain uk reach aim becom world-lead e-economi added. intern benchmark studi base 8 000 telephon interview busi 2 700 uk businesses. eighth seri examin adopt deploy ict world industrialis nations.
1423,blair prepar name poll date toni blair like name 5 may elect day parliament return easter break bbc polit editor learned. andrew marr say mr blair ask queen 4 5 april dissolv parliament end week. mr blair far resist call name day parti step campaign recently. down street would drawn claim say elect time matter prime minister. number 10 spokeswoman would say: announc elect want announc election. move signal frantic week westminst govern like tri get key legisl parliament. govern need financ bill cover budget plan pass common close busi end session 7 april. also seek push seriou organis crime bill id card bill. mr marr said wednesday today programme: almost nobodi senior level insid govern parliament expect elect call 4 5 april. soon common back short easter recess toni blair whip palac ask queen dissolv parliament ... going. labour govern offici june 2006 hold gener elect recent year govern favour four-year terms.
1424,germani call eu reform german chancellor gerhard schroeder call radic reform eu stabil pact grant countri flexibl budget deficits. mr schroeder said exist fiscal rule loosen allow countri run deficit current 3% limit met certain criteria. write financi time mr schroeder also said head govern greater say reforms. chang pact due agre econom summit march. current eu rule limit size eurozon countri deficit 3% gdp. countri exceed threshold liabl heavi fine european commiss although sever countri includ germani breach rule consist sinc 2002 without face punishment. european commiss acknowledg last month would impos sanction countri break rules. mr schroeder - staunch support pact set 1990 - said exempt need take account cost domest reform programm chang econom conditions. stabil pact work better intervent european institut budgetari sovereignti nation parliament permit limit condit wrote. compet respect member state will align polici consist econom goal eu. deficit allow rise 3% mr schroeder argu countri meet sever mandatori criteria . includ govern adopt costli structur reform countri suffer econom stagnat nation shoulder special econom burden . propos chang would make harder european commiss launch infring action state breach pact rules. mr schroeder intervent come ahead meet 12 eurozon financ minist monday discuss pact. issu also discuss tuesday ecofin meet financ minist 25 eu members. mr schroeder also call head govern play larger role shape reform pact. number eu financ minist believ favour limit chang eurozon rules.
1425,us critic laud comedi sideway road trip comedi sideway prais heap two us critic associ ad honour alreadi pick up. chicago film critic associ (cfca) name winner five categori includ best film best actor paul giamatti. director award went clint eastwood million dollar baby. southeastern film critic also award sideway best film year accolade. director alexand payn name best director also best screenplay share jim taylor. cfca award thoma haden church best support actor prize virginia madsen best support actress award role film. sideway alreadi vote best film critic associ new york lo angel nomin golden globe. british actress imelda staunton cfca best actress gritti abort drama vera drake ad grow list award perform mike leigh film. scrub star zach braff name best new director debut garden state. michael moor controversi documentari fahrenheit 9/11 best documentari long engag best foreign film. chicago critic yet name date award ceremoni held.
1426,galloway plea hostag releas ex-labour mp georg galloway appeal releas aid worker margaret hassan kidnap iraq. mr hassan 59 led care intern oper iraq abduct baghdad 19 october. mr galloway expel labour parti staunch opposit war iraq. deni earlier report plan make direct appeal kidnapp via al-jazeera arab televis channel. speak london saturday first annual deleg confer newly-found parti respect coalit said: deliber involv situations. woman promin oppon war preced year sanctions. prepar anyth help save life. spokesman later said mr galloway friend common ms hassan describ promin anti-war activist will anyth - go iraq intermediari anyth necessari . sinc abduct sever video mr hassan broadcast al-jazeera. latest footag show mr hassan ask british troop pull iraq. also urg care intern aid agenc work close offic baghdad appeal iraqi women prison freed. care sinc close oper iraq.
1427,jp morgan admit us slaveri link thousand slave accept collater loan two bank later becam part jp morgan chase. admiss part apolog sent jp morgan staff bank research link slaveri order meet legisl chicago. citizen bank canal bank two lender identified. close link bank one jp morgan bought last year. 13 000 slave use loan collater 1831 1865. default plantat owner citizen canal end own 1 250 slaves. know slaveri exist countri quit differ see histori institut slaveri intertwin jp morgan chief execut william harrison chief oper offic jame dimon said letter. slaveri tragic ingrain american societi excuse. apologis african-american commun particularli descend slave rest american public role citizen bank canal bank played. slaveri era tragic time us histori compani history. jp morgan said set $5m scholarship programm student live louisiana state event took place. bank said differ compani citizen canal bank 1800 .
1428,chelsea sack mutu chelsea sack adrian mutu fail drug test. 25-year-old test posit ban substanc - later deni cocain - october. chelsea decid write possibl transfer fee mutu £15.8m sign parma last season may face two-year suspension. statement chelsea explain decis read: want make clear chelsea zero toler polici toward drugs. mutu score six goal first five game arriv stamford bridg form went declin frozen coach jose mourinho. chelsea statement added: appli performance-enhanc drug so-cal recreat drugs. place club sport. come decis case chelsea believ club social respons fan player employe stakehold footbal regard drug import major financi consider company. player take drug breach contract club well footbal associ rules. club total support fa strong action drug cases. fifa disciplinari code stipul first dope offenc follow six-month ban. sport world govern bodi re-iter stanc mutu fail drug test maintain matter domest sport authorities. fifa posit make comment matter english fa inform us disciplinari decis relev inform associ said fifa spokesman. chelsea move back drug-test expert michel verroken. verroken former director drug-fre sport uk sport insist blue right sack mutu enhanc reput so. chelsea say quit clearli rest player fan situat prepar tolerate. difficult decis expens decis term contract breach decis could make. clear stanc chelsea given strong boost reput club. emerg mutu fail drug test octob 18 although initi report ban substanc question cocaine. romanian intern later suggest substanc design enhanc sexual performance. footbal associ yet act mutu fail drug test refus discuss case.
1429,iraqi win death test case probe famili iraqi civilian allegedli kill uk troop challeng govern refus order full inquiry. high court rule tuesday baha mousa death british custodi iraq fell within european convent human rights. judg pave way independ inquiri say previou investig inadequate. judici review five death southern iraq rule out. famili appeal judgement. famili solicitor phil shiner describ histor day human right rule law uk . father-of-two mr mousa 28 hotel receptionist arrest eight men seiz hotel basra septemb 2003. allegedli beaten death custodi queen lancashir regiment. iraqi famili lawyer argu fail adequ investig death breach european convent human rights. ministri defenc lawyer argu uk-control area southern iraq outsid european jurisdiction. lord justic rix mr justic forb rule uk jurisdict could extend uk-run prison appli total territori anoth state . said mr mousa custodi die case came within uk jurisdiction. five iraqi die custodi case fail said. difficult say investig alreadi occur time open effect judg said. rule carla ferstman legal director human right organis redress said: enough militari investig behind close doors. must effect public investig independ offici body. investig could reveal realli happen might responsible. alleg involv british soldier includ shoot iraqi polic commission shoot four iraqi civilian may 2003. side grant permiss appeal. prime minist toni blair offici spokesman said: obvious need studi detail judgment. would point howev separ crimin case current consid armi prosecut authority. say anyth obviou reasons. mod consid whether appeal. former british command colonel bob stewart said : anyon top [of military] sadden verdict taken place say: case answer let out. want peopl think british soldier beat civilian get away said. ministri defenc everyth power tri prove act ethic properli rule war.
1431,lse set date takeov deal london stock exchang (lse) plan announc prefer takeov end month newspap report claim. sunday telegraph said lse plan evid want retain tight control destiny. deutsch boers rival euronext held talk london market last week possibl offer. £1.3bn offer deutsch boers alreadi reject euronext said make cash bid. specul suggest paris-bas euronext facil place make bid £1.4bn german rival may bid £1.5bn mark. neither yet tabl formal bid lse expect hold talk two parti later week. howev sunday telegraph report ad sign deutsch boers chief execut werner seifert becom increasingli impati lse manag bid process. despit insist want agre recommend deal lse board newspap suggest may pull process put offer directli sharehold instead. newspap also claim mr seifert becom increasingli frustrat pace negoti sinc deutsch boers £1.3bn offer reject mid-decemb particular lse decis suspend talk christma period. meanwhil german exchang offer come fire recently. union deutsch boers staff frankfurt reportedli express fear 300 job would move london takeov successful. other claim weaken citi statu europ financi centr german politician also said angri market oper promis move headquart london bid successful. stumbl block deutsch boers control clearstream unit clear hous process secur transactions. lse sharehold fear would creat monopoli situat weaken posit sharehold negoti lower transact fee share dealings. lse euronext control clear settlement oper situat critic say transpar competitive.
1432,labour mp fear squabbl one thing certain stiffen spine labour mp prospect lose seat gener election. larg fear led toni blair gordon brown read riot act meet parliamentari labour party. view express backbench labour peer claim squabbl two men starkli demonstr widely-held view within labour parti two power figur govern jeopardis next election. one hugely-disgruntl backbench said meeting: time realis seat threaten go like could put elect doubt. sentiment run throughout labour bench mp eager underlin messag leader stop squabbl get job hand. paul flynn said: deepli upset parti time time want come togeth want lead global issu chang polit next decad whole thing wreck piec childish two main peopl parti two peopl greatli respect. stephen pound echo messag saying: know one thing could entir jeopardis tri achiev labour parti countri appear division. rememb 1980 . back suggest unless squabbl stop peopl brief behalf two men would name shame . dress appear done trick mr brown join alleg rival alan milburn - prime minist put charg elect plan mr brown stead - deputi prime minist john prescott elect poster launch. effect achiev two things. firstli nobodi attempt suggest stori rift chancellor prime minist fiction creat media authors. even mr prescott admit still backbench would give mr blair mr brown message. secondli also underlin view elect campaign intent purpos kick off. whether tell subsequ chang behaviour two men good - even sustain campaign - remain seen. even mp express fear emerg mr brown africa week prime minist deliv keynot speech elect theme third term. expect repeat recent insist next manifesto new labour through. similarli point chancellor elect poster launch refus deni claim told prime minist could never trust anyth said. none less believ effect warn backbench actual silenc brown camp effect strengthen prime minist hand. exampl brownit briefer suggest man unhappi prime minist time subject matter may case past seem agre howev snipe simpli cannot allow go elect campaign. mind heard similar pledg before.
1434,feder breez semi-fin roger feder reach last four qatar open easi 6-1 6-2 win seventh seed feliciano lopez. swiss world number one reel seri winner outclass spaniard set semi-fin match russian nikolay davydenko. feder lost quarter-fin last qatar appear 2003 happi form. think play better greg rusedski happi play well said top seed. lopez show glimps resolv earli second set held first servic game came close break federer. swiss save break point promptli broke serv follow game seiz control. davydenko meanwhil upset french third seed sebastien grosjean 2-6 6-3 6-2. fabric santoro complet miser day franc forc retir 6-2 3-0 albert costa. spaniard costa next face croatian ivan ljubic sixth seed beat rafael nadal 6-2 6-7 (3/7) 6-3.
1435,relay squad thrill honour jason garden say made mbe new year honour list underlin achiev great britain 4x100m relay squad olympics. garden darren campbel marlon devonish mark lewis-fr award mbe beat pre-rac favourit usa gold. think award reinforc fantast night said. recognit realli inspir make want success said lewis-francis. british sprint quartet produc string faultless baton chang final put pressur americans. usa stumbl poor switch justin gatlin cobi miller 300m stage britain edg ahead go final bend. cue lewis-fr ran textbook final leg hold mauric green bring team gb home 38.07 second - one hundredth second ahead rivals. win gold medal highlight athlet career far said birchfield harrier. award friend famili peopl help get level sport. garden added: us work hard long long time carri believ imposs task. cours award special noth ever take away win olymp gold medal. ever wanted. life dream doing. life sinc fantastic. campbel agre receiv honour cap difficult year sprinter. think mbe import peopl closest know journey said newport-bas athlete. stumbl upon this. give lot joy satisfact know stuff countri mean something. - also recognit jame clark chairman london marathon. becom obe.
